period,buf,trail,atrp,cagr,maxdd,MAR,trades
2022-01-01→2024-12-31,0.25,0.9,0.04,1.34,-6.92,0.194,51
2022-01-01→2024-12-31,0.25,0.9,0.05,0.1,-11.82,0.008,55
2022-01-01→2024-12-31,0.25,0.9,0.06,0.15,-18.11,0.008,56
2022-01-01→2024-12-31,0.25,1.1,0.04,0.47,-6.89,0.068,46
2022-01-01→2024-12-31,0.25,1.1,0.05,-2,-13.13,-0.152,49
2022-01-01→2024-12-31,0.25,1.1,0.06,-1.95,-21.85,-0.089,50
2022-01-01→2024-12-31,0.25,1.2,0.04,-0.83,-9.58,-0.087,41
2022-01-01→2024-12-31,0.25,1.2,0.05,-2.86,-14.51,-0.197,44
2022-01-01→2024-12-31,0.25,1.2,0.06,-2.7,-14.49,-0.186,45
2022-01-01→2024-12-31,0.25,1.3,0.04,-1.23,-10.69,-0.115,40
2022-01-01→2024-12-31,0.25,1.3,0.05,-3.26,-15.57,-0.209,43
2022-01-01→2024-12-31,0.25,1.3,0.06,-3.1,-15.54,-0.199,44
2022-01-01→2024-12-31,0.3,0.9,0.04,0.07,-7.11,0.010,48
2022-01-01→2024-12-31,0.3,0.9,0.05,-1.16,-12.12,-0.096,53
2022-01-01→2024-12-31,0.3,0.9,0.06,-1.11,-18.41,-0.060,54
2022-01-01→2024-12-31,0.3,1.1,0.04,0.32,-7.31,0.044,44
2022-01-01→2024-12-31,0.3,1.1,0.05,-2.1,-13.42,-0.156,48
2022-01-01→2024-12-31,0.3,1.1,0.06,-2.05,-22.14,-0.093,49
2022-01-01→2024-12-31,0.3,1.2,0.04,-0.9,-9.79,-0.092,40
2022-01-01→2024-12-31,0.3,1.2,0.05,-2.88,-14.56,-0.198,44
2022-01-01→2024-12-31,0.3,1.2,0.06,-2.71,-14.53,-0.187,45
2022-01-01→2024-12-31,0.3,1.3,0.04,-1.31,-10.9,-0.120,39
2022-01-01→2024-12-31,0.3,1.3,0.05,-3.23,-15.48,-0.209,43
2022-01-01→2024-12-31,0.3,1.3,0.06,-3.06,-15.46,-0.198,44
2022-01-01→2024-12-31,0.35,0.9,0.04,0.8,-6.97,0.115,44
2022-01-01→2024-12-31,0.35,0.9,0.05,-0.92,-11.51,-0.080,49
2022-01-01→2024-12-31,0.35,0.9,0.06,-0.87,-17.74,-0.049,50
2022-01-01→2024-12-31,0.35,1.1,0.04,1.45,-6.57,0.221,40
2022-01-01→2024-12-31,0.35,1.1,0.05,-1.53,-11.86,-0.129,45
2022-01-01→2024-12-31,0.35,1.1,0.06,-1.47,-20.37,-0.072,46
2022-01-01→2024-12-31,0.35,1.2,0.04,-0.22,-8.14,-0.027,37
2022-01-01→2024-12-31,0.35,1.2,0.05,-2.78,-14.3,-0.194,42
2022-01-01→2024-12-31,0.35,1.2,0.06,-2.62,-14.3,-0.183,43
2022-01-01→2024-12-31,0.35,1.3,0.04,-0.62,-9.23,-0.067,36
2022-01-01→2024-12-31,0.35,1.3,0.05,-3.13,-15.23,-0.206,41
2022-01-01→2024-12-31,0.35,1.3,0.06,-2.97,-15.23,-0.195,42
2021-01-01→2024-12-31,0.25,0.9,0.04,1.34,-6.92,0.194,51
2021-01-01→2024-12-31,0.25,0.9,0.05,0.1,-11.82,0.008,55
2021-01-01→2024-12-31,0.25,0.9,0.06,0.15,-18.11,0.008,56
2021-01-01→2024-12-31,0.25,1.1,0.04,0.47,-6.89,0.068,46
2021-01-01→2024-12-31,0.25,1.1,0.05,-2,-13.13,-0.152,49
2021-01-01→2024-12-31,0.25,1.1,0.06,-1.95,-21.85,-0.089,50
2021-01-01→2024-12-31,0.25,1.2,0.04,-0.83,-9.58,-0.087,41
2021-01-01→2024-12-31,0.25,1.2,0.05,-2.86,-14.51,-0.197,44
2021-01-01→2024-12-31,0.25,1.2,0.06,-2.7,-14.49,-0.186,45
2021-01-01→2024-12-31,0.25,1.3,0.04,-1.23,-10.69,-0.115,40
2021-01-01→2024-12-31,0.25,1.3,0.05,-3.26,-15.57,-0.209,43
2021-01-01→2024-12-31,0.25,1.3,0.06,-3.1,-15.54,-0.199,44
2021-01-01→2024-12-31,0.3,0.9,0.04,0.07,-7.11,0.010,48
2021-01-01→2024-12-31,0.3,0.9,0.05,-1.16,-12.12,-0.096,53
2021-01-01→2024-12-31,0.3,0.9,0.06,-1.11,-18.41,-0.060,54
2021-01-01→2024-12-31,0.3,1.1,0.04,0.32,-7.31,0.044,44
2021-01-01→2024-12-31,0.3,1.1,0.05,-2.1,-13.42,-0.156,48
2021-01-01→2024-12-31,0.3,1.1,0.06,-2.05,-22.14,-0.093,49
2021-01-01→2024-12-31,0.3,1.2,0.04,-0.9,-9.79,-0.092,40
2021-01-01→2024-12-31,0.3,1.2,0.05,-2.88,-14.56,-0.198,44
2021-01-01→2024-12-31,0.3,1.2,0.06,-2.71,-14.53,-0.187,45
2021-01-01→2024-12-31,0.3,1.3,0.04,-1.31,-10.9,-0.120,39
