buf,trail,cagr,maxdd,mar
0.35,1.1,7.07,-7.51,0.941411451398136
0.35,1.2,7.07,-7.51,0.941411451398136
0.35,1.3,7.07,-7.51,0.941411451398136
0.35,1.4,7.07,-7.51,0.941411451398136
0.35,1.5,7.07,-7.51,0.941411451398136
0.4,1.1,7.07,-7.51,0.941411451398136
0.4,1.2,7.07,-7.51,0.941411451398136
0.4,1.3,7.07,-7.51,0.941411451398136
0.4,1.4,7.07,-7.51,0.941411451398136
0.4,1.5,7.07,-7.51,0.941411451398136
0.45,1.1,7.07,-7.51,0.941411451398136
0.45,1.2,7.07,-7.51,0.941411451398136
0.45,1.3,7.07,-7.51,0.941411451398136
0.45,1.4,7.07,-7.51,0.941411451398136
0.45,1.5,7.07,-7.51,0.941411451398136
0.5,1.1,7.07,-7.51,0.941411451398136
0.5,1.2,7.07,-7.51,0.941411451398136
0.5,1.3,7.07,-7.51,0.941411451398136
0.5,1.4,7.07,-7.51,0.941411451398136
0.5,1.5,7.07,-7.51,0.941411451398136
